Ligand,Score
CNP0248114.1,FAILED
CNP0536732.1,FAILED
CNP0152484.0,FAILED
CNP0185291.0,FAILED
CNP0114960.1,FAILED
CNP0535281.1,FAILED
CNP0571215.1,FAILED
CNP0344984.1,FAILED
CNP0586175.1,FAILED
CNP0246873.1,FAILED
CNP0390512.1,FAILED
CNP0114509.0,FAILED
CNP0309319.0,FAILED
CNP0097646.2,FAILED
CNP0007662.0,FAILED
CNP0113357.1,FAILED
CNP0299906.0,FAILED
CNP0527994.1,FAILED
CNP0201825.4,FAILED
CNP0087653.1,FAILED
CNP0523679.1,FAILED
CNP0118121.2,FAILED
CNP0013606.1,FAILED
CNP0430229.1,FAILED
CNP0560818.1,SKIPPED
CNP0592883.2,SKIPPED
CNP0518123.2,SKIPPED
CNP0534857.1,SKIPPED
CNP0574916.1,SKIPPED
CNP0518613.2,SKIPPED
CNP0501887.1,SKIPPED
CNP0531773.2,SKIPPED
CNP0574164.1,SKIPPED
CNP0568601.2,SKIPPED
CNP0538508.1,SKIPPED
CNP0583667.1,SKIPPED
CNP0502394.2,SKIPPED
CNP0494236.1,SKIPPED
CNP0581423.1,SKIPPED
CNP0561462.2,SKIPPED
CNP0606456.1,SKIPPED
CNP0568601.1,SKIPPED
CNP0485605.1,SKIPPED
CNP0519003.2,SKIPPED
CNP0487547.2,SKIPPED
CNP0134678.1,SKIPPED
CNP0486667.1,SKIPPED
CNP0372246.2,SKIPPED
CNP0578595.1,SKIPPED
CNP0572683.1,SKIPPED
CNP0534684.2,SKIPPED
CNP0575327.2,SKIPPED
CNP0502072.1,SKIPPED
CNP0606137.1,SKIPPED
CNP0549974.2,SKIPPED
CNP0602552.2,SKIPPED
CNP0293697.1,SKIPPED
CNP0539638.1,SKIPPED
CNP0029517.2,SKIPPED
CNP0534857.1,SKIPPED
CNP0592883.2,SKIPPED
CNP0518123.2,SKIPPED
CNP0574916.1,SKIPPED
CNP0568601.2,SKIPPED
CNP0531773.2,SKIPPED
CNP0518613.2,SKIPPED
CNP0572683.1,SKIPPED
CNP0575327.2,SKIPPED
CNP0502394.2,SKIPPED
CNP0538508.1,SKIPPED
CNP0501887.1,SKIPPED
CNP0560818.1,SKIPPED
CNP0574164.1,SKIPPED
CNP0606137.1,SKIPPED
CNP0581423.1,SKIPPED
CNP0606456.1,SKIPPED
CNP0561462.2,SKIPPED
CNP0485605.1,SKIPPED
CNP0568601.1,SKIPPED
CNP0487547.2,SKIPPED
CNP0519003.2,SKIPPED
CNP0583667.1,SKIPPED
CNP0134678.1,SKIPPED
CNP0486667.1,SKIPPED
CNP0494236.1,SKIPPED
CNP0372246.2,SKIPPED
CNP0534684.2,SKIPPED
CNP0578595.1,SKIPPED
CNP0502072.1,SKIPPED
CNP0549974.2,SKIPPED
CNP0293697.1,SKIPPED
CNP0602552.2,SKIPPED
CNP0539638.1,SKIPPED
CNP0029517.2,SKIPPED
CNP0190810.4,FAILED
CNP0270321.3,FAILED
CNP0523285.1,FAILED
CNP0146150.1,FAILED
CNP0323106.3,FAILED
CNP0140329.1,FAILED
CNP0174213.4,FAILED
CNP0274415.2,FAILED
CNP0525987.1,FAILED
CNP0188358.4,FAILED
CNP0189150.2,FAILED
CNP0516814.1,FAILED
CNP0470713.1,FAILED
CNP0104229.1,FAILED
CNP0449160.1,FAILED
CNP0342884.3,FAILED
CNP0426766.2,FAILED
CNP0138098.1,FAILED
CNP0309011.3,SKIPPED
CNP0139821.1,SKIPPED
CNP0431836.1,SKIPPED
CNP0323811.2,SKIPPED
CNP0009135.1,SKIPPED
CNP0192328.6,SKIPPED
CNP0389264.1,SKIPPED
CNP0508346.1,SKIPPED
CNP0148676.1,SKIPPED
CNP0285283.2,SKIPPED
CNP0270023.0,SKIPPED
CNP0188842.0,SKIPPED
CNP0581301.2,SKIPPED
CNP0092301.3,SKIPPED
CNP0202308.1,SKIPPED
CNP0177332.1,SKIPPED
CNP0310375.1,SKIPPED
CNP0521855.1,SKIPPED
CNP0110615.2,SKIPPED
CNP0234709.1,SKIPPED
CNP0386819.3,SKIPPED
