identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0491433.1,-5.3,1.6218911416901038,,1.132513840343791,0.0,0.6931471805599453,9.608522337852422,5.646216173286171,0.0,1.0986122886681098,0
CNP0491447.1,-11.2,0.9596072907518136,2.70805020110221,1.8031881650516777,3.4641016151377544,3.091042453358316,14.783242319531803,8.08248004124438,2.2894284851066637,,7
CNP0491460.1,-10.2,1.0735110027215462,1.791759469228055,1.6468254445057209,1.7320508075688772,2.1972245773362196,10.724996699685493,6.018461654806453,1.8171205928321397,,2
CNP0491465.1,-6.8,1.6294320862036404,,1.1334590199982777,0.0,0.0,8.957508094049595,5.265637428171437,0.0,1.0986122886681098,0
CNP0491473.0,-7.8,1.2003491397703403,1.0986122886681098,1.5244446996007075,0.0,,9.861362813271151,4.986630952238646,1.8171205928321397,,1
CNP0491489.2,-10.0,1.1463316371718977,1.3862943611198906,1.5982646118359751,1.4142135623730951,0.6931471805599453,11.26802490394379,5.625226328341856,1.8171205928321397,,5
CNP0491507.1,-6.8,1.620538306688315,,1.1134273744532504,0.0,0.0,11.39989623762828,5.886765316883336,0.0,1.0986122886681098,0
CNP0491514.4,-10.0,1.069496505428728,1.791759469228055,1.6885752329928243,1.7320508075688772,1.6094379124341005,10.174869407386709,5.687733959703131,1.8171205928321397,,2
CNP0491531.2,-7.0,1.623670464648107,,1.133098464739279,0.0,0.0,9.593482824689156,5.614672408001491,0.0,1.0986122886681098,0
CNP0491637.0,-4.0,1.3117578788393565,0.0,1.2729656758128876,0.0,,5.172247276204447,2.924017738212866,1.709975946676697,,1
CNP0491642.1,-9.6,1.1218196268238725,1.0986122886681098,1.4750898599030218,0.0,2.302585092994046,8.367341429083865,5.348481241239363,1.8171205928321397,,7
CNP0491664.1,-6.368,1.6244895433986086,,1.1451323043030026,0.0,1.0986122886681098,9.55228388863582,5.6040786613107745,0.0,1.0986122886681098,0
CNP0491670.1,-7.0,1.29245484650612,0.6931471805599453,1.573505903208037,1.4142135623730951,1.0986122886681098,7.3044321642361085,4.344481485768612,2.080083823051904,,1
CNP0491713.0,-8.8,1.1179957944800971,1.6094379124341005,1.5926307941177191,1.4142135623730951,2.302585092994046,11.84745660740703,6.179746605865644,1.8171205928321397,,12
CNP0491746.1,-9.1,1.1700616628976954,1.0986122886681098,1.536867219599265,1.4142135623730951,0.0,8.843119866945406,4.530654896083493,1.8171205928321397,,3
CNP0491764.1,-10.9,0.8795013949058168,2.8903717578961645,1.7424537082439011,4.0,2.5649493574615367,16.462425082277516,8.213027082338558,2.4662120743304703,,2
CNP0491888.0,-7.4,1.428787663118752,0.0,1.3545456628053103,0.0,0.6931471805599453,9.45822457970596,4.986630952238646,1.8171205928321397,1.3862943611198906,1
CNP0491937.1,-9.66,1.0355538733902412,1.3862943611198906,1.4648566836229928,1.4142135623730951,2.302585092994046,11.85347827778323,6.0822019955734,1.8171205928321397,0.6931471805599453,5
CNP0492011.0,-8.1,1.1332449853288753,1.6094379124341005,1.5668782980153044,2.23606797749979,,12.944333296417462,6.126925675228417,2.5198420997897464,1.0986122886681098,4
CNP0492015.1,-6.7,1.621560534491228,,1.1125985306428496,0.0,0.0,11.68136445101296,6.0,0.0,1.0986122886681098,0
CNP0492050.3,-8.1,1.1689798875867667,1.3862943611198906,1.5766480896111097,1.4142135623730951,0.6931471805599453,9.800680064260217,5.313292845913056,1.8171205928321397,0.0,1
CNP0492096.1,-8.5,1.2583030692947894,0.6931471805599453,1.4397195277934711,0.0,1.6094379124341005,10.205923688023733,5.572054655542623,1.709975946676697,,3
CNP0492142.1,-10.0,0.9834603468891154,2.302585092994046,1.6933193964148026,3.0,2.4849066497880004,13.508762080079029,7.033849655997663,2.41014226417523,0.0,6
CNP0492222.2,-9.6,1.2041299396052787,1.0986122886681098,1.45962563420544,1.4142135623730951,1.9459101490553132,11.096686454466484,5.8284766832514565,1.8171205928321397,,8
CNP0492259.2,-9.6,1.1003501167992762,1.3862943611198906,1.6156684621847364,1.4142135623730951,1.3862943611198906,10.297675115599665,5.440121825414797,1.8171205928321397,,0
CNP0492263.1,-6.6,1.6204420135910262,,1.1130010261202097,0.0,0.0,10.885571085074773,5.94392195276313,0.0,1.0986122886681098,0
CNP0492307.0,-8.611,1.176577723225288,1.3862943611198906,1.6499840068284504,1.7320508075688772,,10.68060092045782,5.325074021614987,1.8171205928321397,,3
CNP0492337.0,-6.5,1.6234847627338216,,1.1138797607988982,0.0,,10.146071431579117,5.8284766832514565,0.0,1.0986122886681098,0
CNP0492375.10,-11.47,0.9431027320021578,2.4849066497880004,1.8662925210906216,3.3166247903554,2.8903717578961645,12.469696644806705,7.126935967201603,1.8171205928321397,0.6931471805599453,4
CNP0492375.9,-12.94,0.9431027320021578,2.4849066497880004,1.8662925210906216,3.3166247903554,2.8903717578961645,12.469696644806705,7.126935967201603,1.8171205928321397,0.6931471805599453,4
