dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,model
interactions_only.csv,0.4626292310565817,0.0077486444791529,0.377683715616404,0.0133272898270179,0.6144598050930584,0.0108626951151721,0.8713300169438807,0.0055606094029147,5.4692196644596835,0.1160495073521208,lightgbm
transformations_only.csv,0.5230120645676637,0.0082157016503933,0.4739816421833424,0.0122321578177881,0.6884033975167355,0.0088961370108513,0.8385530760189113,0.004952477642381,6.128384284436881,0.1294432122918724,lightgbm
all_4_combined.csv,0.4504244783174328,0.007391533759491,0.363757851238974,0.0117369182418373,0.6030416565026014,0.0097317385812736,0.876097472165295,0.0044757749507542,5.310985891806927,0.1148531482717108,lightgbm
interactions_and_ratios.csv,0.4507654120667753,0.0086882885004728,0.3637405084803835,0.0130411612818145,0.6030073416249391,0.0108534469872959,0.8761038109191549,0.0048800121295771,5.3159117430787255,0.1286193056072512,lightgbm
descriptors_only.csv,0.8007613156696616,0.0127718274120996,1.054318870251277,0.0487107519565191,1.026520160323379,0.0235042882296843,0.6408182513266414,0.0188600539248156,9.71393406648883,0.115039516576184,ridge_regression
raw_descs_and_ratios.csv,0.5297795132648881,0.0082011632993003,0.4843530543997727,0.016868152380292,0.6958443823332787,0.0121476514594812,0.8349550522731896,0.007725369236163,6.304874757226196,0.0980761127043338,ridge_regression
raw_descs_and_interactions.csv,0.6125288576588586,0.0100810565083337,0.6393528647280562,0.030656196606683,0.7993559336870588,0.0191778765627445,0.7819982992618048,0.0147358983996224,7.435886579515814,0.0828293262161624,ridge_regression
transforms_and_interactions.csv,0.6125288576588586,0.0100810565083337,0.6393528647280562,0.030656196606683,0.7993559336870588,0.0191778765627445,0.7819982992618048,0.0147358983996224,7.435886579515814,0.0828293262161624,ridge_regression
transforms_and_ratios.csv,0.5259335038028911,0.0084211557275155,0.479780502469234,0.0135231894212629,0.6925901765382388,0.009768089814258,0.8365604578101623,0.0058134178222505,6.268238439108525,0.1246448725434748,ridge_regression
raw_descs_and_transforms.csv,0.7247603174471877,0.0084346130166307,0.8620693045281176,0.0260297912064917,0.9283682902053092,0.0139153881555955,0.7063377855517963,0.0108822793687289,8.667875432497684,0.0856846851370536,ridge_regression
