identifier,canonical_smiles
CNP0126490.2,COC(=O)C(C)=CC(O)CC(C)C1(C)CC=C2C3=C(CCC21C)C1(C)CCC(O)C(C)(C)C1CC3
CNP0126491.0,CCc1ccc(CCC(=O)c2ccccc2)cc1
CNP0126492.1,C=CC1CN2CCC1CC2CNC(=O)NCCC
CNP0126492.2,C=CC1CN2CCC1CC2CNC(=O)NCCC
CNP0126493.1,C=C1CCC=C(C)CCC2C1C(O)C2(C)C
CNP0126493.2,C=C1CCC=C(C)CCC2C1C(O)C2(C)C
CNP0126496.1,C=C1CC23CC1(O)CCC2C12CC(O)C(OC4OC(CO)C(O)C(O)C4O)C(C)(C(=O)O1)C2C3C(=O)O
CNP0126497.1,O=C(NC1CC(Cn2cc(CN3CCS(=O)(=O)CC3)nn2)C(O)C1O)c1cnccn1
CNP0126498.1,C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1cc3c(cc1O)OC(c1ccc(O)cc1)C3c1cc(O)cc(O)c1)CC2=O
CNP0126498.2,C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1cc3c(cc1O)OC(c1ccc(O)cc1)C3c1cc(O)cc(O)c1)CC2=O
CNP0126499.1,CC1CCC2C(C)C3C(CC4C5CC=C6CC(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)CCC6(C)C5CCC43C)N2C1
CNP0126500.1,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC43C)C2(C)C1O
CNP0126502.0,Cn1c(=O)c(O)c2c3c(cccc31)C(=O)c1ccccc1-2
CNP0126503.1,CC(=O)OC1CC2(O)C3CC=C4CCCCC4(C)C3CCC2(C)C1c1ccc(=O)oc1
CNP0126504.0,CCCCCCCCCCCCCCCCCCCCCCCC(=O)NCc1ccccc1
CNP0126505.0,CC(C=CC1(O)C(C)(O)CC(O)C(O)C1(C)C)=CC(=O)O
CNP0126506.1,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126506.2,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126506.3,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126506.4,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126506.5,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126506.6,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C(C)(CC(=O)O)C(C(C)(C)C(=O)O)CCC43C)C2C1(C)O
CNP0126507.1,CC1CCCC2C=CC(C)C(C)(C3=CC(=O)C(=CNCCO)C(=O)O3)C12
CNP0126509.0,COc1c(OC)c(OC)c2c(ccc3ccccc32)c1CCN(C)C
CNP0126510.1,COc1cc(C2OCC3C(c4ccc(OC5OC(CO)C(O)C(O)C5O)c(O)c4)OCC23)cc2c1OCO2
CNP0126511.1,COC(=O)C12CC(=O)C(C(C)C)CC(=O)C(C)CCCC(C)CC(=O)C1C=C(C)C1=CCC(C)(O)C3CC=C(C)C(CCC(C)=CC12)O3
CNP0126512.1,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2O)C1
CNP0126512.2,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2O)C1
CNP0126513.1,CN1C(=O)c2cccnc2OC2CN(Cc3ccncc3Cl)CC21
CNP0126515.1,COC(=O)C1=CN(C(C)c2cncc(C(=O)OC)c2C)CC2C(C)NC(=O)CC12
CNP0126516.1,CC(CO)C1CCC2(CCC3(C)C(CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2O)CO1
