cluster_post,UMAP_0,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11
74,10.125195,0.015793083,1.2332014,4.784062,5.4930277,4.4622173,4.7877965,3.3085835,10.108242,4.7845755,-0.7582346,5.413419
75,9.645286,2.3361025,0.21426061,11.183442,4.1453404,4.722337,4.7550864,4.478128,3.1918857,5.090479,7.3776793,4.780729
76,10.083705,0.14049526,1.3071194,4.761384,5.7477436,4.3568254,4.364924,3.5561557,10.157577,4.7444253,-0.33491918,5.4817257
77,10.147387,0.037618473,1.2508165,4.75538,5.597349,4.4274225,4.555599,3.3710558,10.126553,4.7707458,-0.6293406,5.4254274
78,9.546235,-3.0340264,1.3523295,5.5866394,-1.0539349,4.052614,6.4533525,3.3475533,6.90647,5.1223965,9.032815,4.7057357
79,12.879443,0.025452334,1.2452818,4.7962976,4.749704,-2.9206576,4.751722,2.9287288,4.5417695,4.3414826,6.3857546,5.1823564
80,8.860295,0.8564419,-0.1489944,10.6495285,4.040539,5.318378,6.124107,4.0197577,1.8138347,4.5129113,5.9926434,3.5474188
81,8.675953,0.51402277,-0.15863496,10.566438,3.8746731,5.5112543,6.239674,4.287596,1.5856111,4.456715,5.8587275,3.326629
82,9.497956,-2.7771416,1.3660479,5.667042,0.080575764,3.8628669,6.578355,3.2777522,7.640867,5.924487,10.703212,4.3210716
83,8.770743,-2.014759,1.609993,1.7091842,2.1133857,4.44016,2.341158,2.225537,5.886302,5.8850465,4.9453845,2.8692143
84,9.609225,4.2854557,0.8328944,8.133834,4.0884485,6.3059597,2.5138195,2.823839,10.226415,4.2789936,7.751737,5.8800006
85,9.424047,2.0803227,0.8574358,10.794826,4.382399,4.3609867,5.1457863,2.8652837,2.2468252,4.895764,6.0517993,8.093031
86,9.450713,-3.3094456,1.3309475,5.7466173,-0.07498185,3.8420901,6.609333,3.4313295,7.607827,5.7070737,9.923159,4.4592323
87,9.512922,-2.628809,1.3641909,5.6230288,0.44686943,3.846775,6.520052,3.1579108,7.7077427,6.0558343,10.902579,4.21889
88,9.504014,-2.9941905,1.3564819,5.632936,-0.7889467,3.9766963,6.530149,3.3753555,7.2015796,5.389074,9.660728,4.6061935
89,11.862586,-0.010113202,1.2897063,5.091325,4.4068475,-3.2247324,4.476657,2.562458,4.7967515,4.2571087,6.031105,5.5302224
90,9.751643,3.2628243,0.9300796,10.8966255,5.1269345,5.117621,5.7977314,2.496445,5.0263205,3.9900172,7.063052,1.9698721
91,12.794033,0.029701008,1.2233405,5.090129,4.707493,-2.7566867,4.6160173,2.6179354,5.1496944,4.161121,6.102625,5.12397
92,12.042669,0.4489276,1.177443,5.3231754,4.542152,-2.988179,4.6719275,2.5197344,5.307949,4.133174,6.1211147,5.071377
93,8.564826,2.0031738,0.36771193,10.2058115,4.273348,4.925541,5.9971795,3.083647,-0.013026064,4.817289,6.4317627,3.2585926
94,8.66783,1.8431002,0.3154171,10.394105,4.2837086,4.9110937,6.017174,3.1558235,0.24145804,4.8589473,6.456639,3.535149
95,9.47506,4.011389,-0.64896077,5.139103,6.990754,3.3264453,5.9880776,4.8045897,1.9934503,5.7210937,3.6186466,1.6050973
96,15.056607,0.42258635,1.1723171,5.3934937,4.843166,-1.1283588,4.9804688,2.845263,5.0531206,4.4940834,6.4138184,5.0318847
97,12.516574,0.53357744,1.1130292,5.9889965,5.145442,-2.5846863,4.620636,2.503947,5.3662605,4.0402417,6.2407246,4.7734294
98,12.710449,1.2376975,1.2234706,4.865603,4.772651,-2.8127942,5.1428266,2.9392009,5.09171,4.1786165,7.286297,5.368893
99,12.522992,0.7015437,1.229982,5.0908566,4.3790216,-2.815415,4.877862,2.7466881,5.2201605,4.2389793,6.5854087,5.340226
100,12.715784,0.6053365,1.1552179,4.902407,4.86191,-2.8325787,4.876537,2.6982572,5.3088927,4.198664,6.763979,5.185621
101,12.603654,0.51333064,1.1831915,4.885628,4.4023213,-2.8546941,4.71173,2.594938,5.301307,4.2084894,6.268259,5.146483
