cluster,identifier,Score
693,CNP0267499.7,-7.8
694,CNP0532549.1,-7.6
695,CNP0431400.1,-7.9
696,CNP0379409.2,-7.9
697,CNP0485720.0,-5.8
698,CNP0186142.2,-5.5
699,CNP0456036.1,
700,CNP0002319.1,-10.3
701,CNP0491642.1,-9.6
702,CNP0283830.0,-3.7
703,CNP0199916.1,-5.5
704,CNP0011726.1,-10.2
705,CNP0578707.1,-7.8
706,CNP0065261.0,-7.6
707,CNP0189539.2,-9.0
708,CNP0260967.6,-11.4
709,CNP0255139.4,-10.8
710,CNP0280874.1,-6.8
711,CNP0128453.2,-7.6
712,CNP0385945.1,-7.7
713,CNP0339680.0,-8.0
714,CNP0026986.0,-6.8
715,CNP0196201.1,-8.2
716,CNP0347110.3,-8.9
717,CNP0108276.2,-7.2
718,CNP0422051.1,-8.1
719,CNP0588678.0,-9.1
720,CNP0270790.1,-8.5
721,CNP0109554.1,-6.6
722,CNP0313945.1,-7.8
723,CNP0129481.1,-8.8
724,CNP0247786.0,-9.6
725,CNP0034316.1,-6.9
726,CNP0562232.0,-11.0
727,CNP0408285.0,-8.7
728,CNP0235416.1,-9.5
729,CNP0227085.1,-9.0
730,CNP0242381.2,-9.4
731,CNP0194025.1,-8.9
732,CNP0150870.5,-7.7
733,CNP0158255.1,-9.0
734,CNP0447223.0,-6.2
735,CNP0268843.3,-6.7
736,CNP0521068.1,-8.9
737,CNP0509745.1,-9.4
738,CNP0391922.3,-9.0
739,CNP0305161.1,-8.0
740,CNP0585410.0,-10.9
741,CNP0535232.1,-9.3
742,CNP0488128.2,-10.6
743,CNP0358953.1,-9.1
744,CNP0067129.1,-9.4
745,CNP0195299.0,-9.2
746,CNP0185064.1,-9.3
747,CNP0116671.1,-6.1
748,CNP0305923.0,-5.8
749,CNP0388966.1,-6.9
750,CNP0384165.2,-7.7
751,CNP0252987.2,-8.9
752,CNP0266666.1,-8.0
753,CNP0004348.1,-8.0
754,CNP0110665.1,-9.5
755,CNP0461112.1,-9.2
756,CNP0561891.0,-10.1
757,CNP0486736.1,-8.3
758,CNP0376978.1,-8.2
759,CNP0263301.1,-10.3
760,CNP0535915.1,-9.9
761,CNP0495359.1,-9.5
762,CNP0074309.1,-9.5
763,CNP0281961.1,-10.5
764,CNP0191524.1,-11.4
765,CNP0340224.0,-5.7
766,CNP0009920.0,-5.7
767,CNP0000599.0,-5.6
768,CNP0605062.0,-9.3
769,CNP0145198.1,-6.1
770,CNP0529625.0,-4.2
771,CNP0319313.0,-5.7
772,CNP0312498.0,-6.9
773,CNP0287102.1,-7.8
774,CNP0483087.1,-9.8
775,CNP0223943.1,-7.6
776,CNP0196355.1,-8.6
777,CNP0158018.5,-10.3
778,CNP0523307.1,-6.6
779,CNP0221368.3,-8.5
780,CNP0037338.1,-8.0
781,CNP0376732.2,-10.1
782,CNP0249238.4,-9.4
783,CNP0002838.0,-5.6
784,CNP0013450.2,-8.4
785,CNP0272159.1,
786,CNP0572951.0,-9.342
787,CNP0291897.3,-8.46
788,CNP0219639.1,-8.488
789,CNP0374446.3,-8.013
