cluster,identifier,Score
384,CNP0460228.3,-10.9
385,CNP0061271.1,-7.1
386,CNP0176891.1,-7.6
387,CNP0361543.2,-10.0
388,CNP0496068.1,-9.8
389,CNP0509624.0,-8.3
390,CNP0218950.10,-10.3
391,CNP0543113.1,-11.0
392,CNP0419306.1,-10.9
393,CNP0093372.3,-9.8
394,CNP0458781.4,-10.3
395,CNP0453604.4,-9.795
396,CNP0534365.1,-9.297
397,CNP0495190.1,-9.383
398,CNP0471117.1,-10.44
399,CNP0313637.2,-8.234
400,CNP0311601.1,-9.643
401,CNP0145916.1,-9.981
402,CNP0256004.4,-9.331
403,CNP0602419.2,-8.663
404,CNP0075414.1,-8.772
405,CNP0255826.4,-11.6
406,CNP0521946.1,-10.3
407,CNP0175592.1,-8.5
408,CNP0191880.3,-8.3
409,CNP0084325.1,-8.0
410,CNP0542556.0,-9.9
411,CNP0560189.1,-9.5
412,CNP0297686.1,-8.7
413,CNP0167696.1,-8.4
414,CNP0211187.1,-9.8
415,CNP0569554.1,-11.4
416,CNP0077519.1,-9.9
417,CNP0405655.1,-12.3
418,CNP0321414.1,-9.4
419,CNP0192924.1,-11.7
420,CNP0307576.1,-6.6
421,CNP0013832.1,-8.4
422,CNP0183333.2,-9.5
423,CNP0360108.1,-6.5
424,CNP0367800.0,-13.2
425,CNP0248264.1,-10.8
426,CNP0314621.11,-14.1
427,CNP0305852.2,-9.6
428,CNP0184615.1,-12.1
429,CNP0213780.13,-10.5
430,CNP0334591.6,-9.3
431,CNP0134490.1,-9.0
432,CNP0492259.2,-9.6
433,CNP0078097.0,-9.3
434,CNP0312141.1,-9.3
435,CNP0153482.2,-14.3
436,CNP0125781.1,-6.6
437,CNP0602833.6,-10.4
438,CNP0184915.5,-9.8
439,CNP0046037.1,-12.1
440,CNP0227951.2,-10.8
441,CNP0558288.1,-8.7
442,CNP0540580.3,-8.6
443,CNP0317790.5,-10.6
444,CNP0027130.0,-12.3
445,CNP0186206.12,-11.7
446,CNP0293672.4,-11.5
447,CNP0294442.1,-11.0
448,CNP0056273.3,-6.3
449,CNP0595321.4,-10.9
450,CNP0232898.2,-7.8
451,CNP0349204.1,
452,CNP0369629.3,-9.6
453,CNP0332159.1,-8.9
454,CNP0531959.1,-9.0
455,CNP0154477.1,-8.5
456,CNP0577354.0,-8.7
457,CNP0596493.4,-10.7
458,CNP0491234.2,-10.8
459,CNP0364880.4,-8.3
460,CNP0062884.1,-8.8
461,CNP0528562.4,-8.9
462,CNP0498007.3,
463,CNP0391546.2,-10.4
464,CNP0480504.2,
465,CNP0312434.1,-9.2
466,CNP0494132.0,-6.5
467,CNP0417767.4,-6.9
468,CNP0182572.1,-9.0
469,CNP0590759.0,-6.1
470,CNP0071766.0,
471,CNP0512777.1,
472,CNP0185268.1,
473,CNP0085830.0,
474,CNP0596821.0,
475,CNP0042724.1,-8.9
476,CNP0593640.1,-8.7
477,CNP0341123.2,-7.9
478,CNP0388636.1,-8.8
479,CNP0172482.2,-8.7
480,CNP0510614.1,-8.5
481,CNP0222466.0,-7.9
482,CNP0425345.1,-9.1
483,CNP0538311.1,-9.9
484,CNP0274531.1,-8.8
485,CNP0197586.5,-10.3
486,CNP0456645.1,
487,CNP0229689.2,-8.2
488,CNP0228863.7,-8.9
489,CNP0545881.1,-9.9
490,CNP0178198.1,-8.7
491,CNP0132115.1,-9.2
492,CNP0307458.1,-8.6
493,CNP0426766.2,
494,CNP0074536.3,-9.0
495,CNP0226113.2,-9.4
496,CNP0350097.1,-10.7
497,CNP0520461.1,-4.7
498,CNP0309134.1,-9.3
499,CNP0388553.1,-9.1
500,CNP0586748.0,-6.2
501,CNP0261613.3,-8.4
502,CNP0500798.1,-3.7
503,CNP0324082.1,-10.9
504,CNP0544245.1,-6.7
505,CNP0256283.7,-8.3
506,CNP0597574.1,-7.5
507,CNP0336100.2,-8.9
508,CNP0231857.0,-5.9
509,CNP0100207.0,-3.9
510,CNP0497042.1,-9.6
511,CNP0171608.3,-8.6
512,CNP0271749.2,-10.5
513,CNP0585355.1,-8.2
514,CNP0586195.1,-13.9
515,CNP0213383.2,-12.1
516,CNP0422832.1,-7.3
517,CNP0405757.1,-9.3
518,CNP0283458.2,-10.9
519,CNP0189150.2,
520,CNP0341313.1,-7.98
521,CNP0546081.1,-9.505
522,CNP0293098.1,-11.99
523,CNP0153829.1,-11.08
524,CNP0291987.2,-7.947
525,CNP0513604.2,-9.381
526,CNP0145540.17,-7.79
527,CNP0524386.0,-8.987
528,CNP0530777.1,-6.742
529,CNP0223232.5,-9.591
530,CNP0202872.2,
531,CNP0231269.2,
532,CNP0082360.2,
533,CNP0001874.1,
534,CNP0370251.1,
535,CNP0101819.1,-8.7
536,CNP0209699.1,-8.6
537,CNP0280843.8,-6.9
538,CNP0069961.2,-10.5
539,CNP0114553.1,-9.4
540,CNP0522702.1,-7.8
541,CNP0108177.4,-10.4
542,CNP0269050.9,-9.4
543,CNP0156015.1,-10.5
544,CNP0424416.3,
545,CNP0473577.2,
546,CNP0177349.10,-8.4
547,CNP0319080.1,-8.5
548,CNP0084748.2,-7.6
549,CNP0202247.1,-9.8
550,CNP0367377.2,-8.5
551,CNP0401239.1,-10.5
552,CNP0122404.1,-9.8
553,CNP0498774.1,-11.1
554,CNP0262233.5,-10.3
555,CNP0198240.18,-9.6
556,CNP0166762.1,-11.1
557,CNP0602258.1,-6.7
