outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,0.8,0.1,3,1,100,1,0.8,0.6681910937708221
1,0.8,0.1,3,1,100,1,0.8,0.6518793258451737
1,0.8,0.1,3,1,100,1,1.0,0.6369744761835678
1,0.8,0.1,3,1,100,1,1.0,0.666454721555799
1,0.8,0.1,3,1,100,1,1.0,0.6514215170308849
1,0.8,0.1,3,1,100,5,0.8,0.6387519806437723
1,0.8,0.1,3,1,100,5,0.8,0.6716652997712437
1,0.8,0.1,3,1,100,5,0.8,0.6538428275189841
1,0.8,0.1,3,1,100,5,1.0,0.6390494625896558
1,0.8,0.1,3,1,100,5,1.0,0.6728480839218963
1,0.8,0.1,3,1,100,5,1.0,0.6551233862150647
1,0.8,0.1,3,1,300,1,0.8,0.6043909980650782
1,0.8,0.1,3,1,300,1,0.8,0.6286909088620392
1,0.8,0.1,3,1,300,1,0.8,0.6237524835476116
1,0.8,0.1,3,1,300,1,1.0,0.6079737907074177
1,0.8,0.1,3,1,300,1,1.0,0.6278730791109811
1,0.8,0.1,3,1,300,1,1.0,0.6234798639381836
1,0.8,0.1,3,1,300,5,0.8,0.6052055022792775
1,0.8,0.1,3,1,300,5,0.8,0.6304869139609462
1,0.8,0.1,3,1,300,5,0.8,0.6236652172259016
1,0.8,0.1,3,1,300,5,1.0,0.6080475300806577
1,0.8,0.1,3,1,300,5,1.0,0.632913518483277
1,0.8,0.1,3,1,300,5,1.0,0.6311375567200159
1,0.8,0.1,3,1,500,1,0.8,0.5981888644917173
1,0.8,0.1,3,1,500,1,0.8,0.619623537227944
1,0.8,0.1,3,1,500,1,0.8,0.6175630691585605
1,0.8,0.1,3,1,500,1,1.0,0.6021111255801269
1,0.8,0.1,3,1,500,1,1.0,0.6197905111435502
1,0.8,0.1,3,1,500,1,1.0,0.6180943261810816
1,0.8,0.1,3,1,500,5,0.8,0.5987137772478878
1,0.8,0.1,3,1,500,5,0.8,0.6185150240730135
1,0.8,0.1,3,1,500,5,0.8,0.6154537419731602
1,0.8,0.1,3,1,500,5,1.0,0.6021689799754029
1,0.8,0.1,3,1,500,5,1.0,0.6226596705708695
1,0.8,0.1,3,1,500,5,1.0,0.623165777201348
1,0.8,0.1,3,5,100,1,0.8,0.636448233900008
1,0.8,0.1,3,5,100,1,0.8,0.6677703599166465
1,0.8,0.1,3,5,100,1,0.8,0.6508266523362779
1,0.8,0.1,3,5,100,1,1.0,0.6375038316729534
1,0.8,0.1,3,5,100,1,1.0,0.6700725489020466
1,0.8,0.1,3,5,100,1,1.0,0.6524590486197203
1,0.8,0.1,3,5,100,5,0.8,0.63718163180681
1,0.8,0.1,3,5,100,5,0.8,0.6723660142005096
1,0.8,0.1,3,5,100,5,0.8,0.6530244790008345
1,0.8,0.1,3,5,100,5,1.0,0.6390672071297304
1,0.8,0.1,3,5,100,5,1.0,0.6735776053492027
1,0.8,0.1,3,5,100,5,1.0,0.6538613968288005
1,0.8,0.1,3,5,300,1,0.8,0.6086017695673335
1,0.8,0.1,3,5,300,1,0.8,0.6274239900850996
1,0.8,0.1,3,5,300,1,0.8,0.6244925845123535
1,0.8,0.1,3,5,300,1,1.0,0.6078303577063637
1,0.8,0.1,3,5,300,1,1.0,0.6300860445773784
1,0.8,0.1,3,5,300,1,1.0,0.624946895171921
1,0.8,0.1,3,5,300,5,0.8,0.6074984536093296
1,0.8,0.1,3,5,300,5,0.8,0.6308200556850053
1,0.8,0.1,3,5,300,5,0.8,0.6259674783957127
1,0.8,0.1,3,5,300,5,1.0,0.6088447476355696
1,0.8,0.1,3,5,300,5,1.0,0.636262276532527
1,0.8,0.1,3,5,300,5,1.0,0.6280070928277395
1,0.8,0.1,3,5,500,1,0.8,0.6017669046802444
1,0.8,0.1,3,5,500,1,0.8,0.6188272467195727
1,0.8,0.1,3,5,500,1,0.8,0.6190152268760393
1,0.8,0.1,3,5,500,1,1.0,0.6020118456696338
1,0.8,0.1,3,5,500,1,1.0,0.6211035412746952
1,0.8,0.1,3,5,500,1,1.0,0.6206129462528194
1,0.8,0.1,3,5,500,5,0.8,0.600447267802753
1,0.8,0.1,3,5,500,5,0.8,0.6218138947102926
1,0.8,0.1,3,5,500,5,0.8,0.6176076348508993
1,0.8,0.1,3,5,500,5,1.0,0.6034677511784408
1,0.8,0.1,3,5,500,5,1.0,0.626235822732392
1,0.8,0.1,3,5,500,5,1.0,0.6211291488344833
1,0.8,0.1,6,1,100,1,0.8,0.6006257804505124
1,0.8,0.1,6,1,100,1,0.8,0.6233815428347916
1,0.8,0.1,6,1,100,1,0.8,0.6120393708999592
1,0.8,0.1,6,1,100,1,1.0,0.6086575323730357
1,0.8,0.1,6,1,100,1,1.0,0.6250064322313007
1,0.8,0.1,6,1,100,1,1.0,0.616879021216812
1,0.8,0.1,6,1,100,5,0.8,0.5990445545051941
1,0.8,0.1,6,1,100,5,0.8,0.6189047242477371
1,0.8,0.1,6,1,100,5,0.8,0.6122567885507564
1,0.8,0.1,6,1,100,5,1.0,0.6026773897893805
1,0.8,0.1,6,1,100,5,1.0,0.6178280439982633
1,0.8,0.1,6,1,100,5,1.0,0.6181729766782534
1,0.8,0.1,6,1,300,1,0.8,0.6011289832401869
1,0.8,0.1,6,1,300,1,0.8,0.6207865826479979
1,0.8,0.1,6,1,300,1,0.8,0.6109440822899105
1,0.8,0.1,6,1,300,1,1.0,0.6075893494042871
1,0.8,0.1,6,1,300,1,1.0,0.6198091375058773
1,0.8,0.1,6,1,300,1,1.0,0.6145620746870004
1,0.8,0.1,6,1,300,5,0.8,0.6020390645163667
1,0.8,0.1,6,1,300,5,0.8,0.6167796016155999
1,0.8,0.1,6,1,300,5,0.8,0.6076131787547738
1,0.8,0.1,6,1,300,5,1.0,0.603100168165583
1,0.8,0.1,6,1,300,5,1.0,0.6117344875184004
1,0.8,0.1,6,1,300,5,1.0,0.6117954606767239
1,0.8,0.1,6,1,500,1,0.8,0.603329139907984
1,0.8,0.1,6,1,500,1,0.8,0.624068118870135
1,0.8,0.1,6,1,500,1,0.8,0.6131589455532359
1,0.8,0.1,6,1,500,1,1.0,0.6104434245361476
1,0.8,0.1,6,1,500,1,1.0,0.6233042938800941
1,0.8,0.1,6,1,500,1,1.0,0.615413274933883
1,0.8,0.1,6,1,500,5,0.8,0.6048289696625011
1,0.8,0.1,6,1,500,5,0.8,0.6209234737233652
1,0.8,0.1,6,1,500,5,0.8,0.6114974119988905
1,0.8,0.1,6,1,500,5,1.0,0.6050146322799999
1,0.8,0.1,6,1,500,5,1.0,0.6141598088740817
1,0.8,0.1,6,1,500,5,1.0,0.6130112591998509
1,0.8,0.1,6,5,100,1,0.8,0.6008884808240774
1,0.8,0.1,6,5,100,1,0.8,0.6213024615009781
1,0.8,0.1,6,5,100,1,0.8,0.6152863544418823
1,0.8,0.1,6,5,100,1,1.0,0.6053582193240126
1,0.8,0.1,6,5,100,1,1.0,0.6200765056349455
1,0.8,0.1,6,5,100,1,1.0,0.6150041991869382
1,0.8,0.1,6,5,100,5,0.8,0.5995573794320435
1,0.8,0.1,6,5,100,5,0.8,0.6171783267794909
1,0.8,0.1,6,5,100,5,0.8,0.6161166700602898
1,0.8,0.1,6,5,100,5,1.0,0.6014394117012613
1,0.8,0.1,6,5,100,5,1.0,0.6173916737717035
1,0.8,0.1,6,5,100,5,1.0,0.6191129262082282
1,0.8,0.1,6,5,300,1,0.8,0.6016708253507248
1,0.8,0.1,6,5,300,1,0.8,0.6197809978362694
1,0.8,0.1,6,5,300,1,0.8,0.6125059717862275
1,0.8,0.1,6,5,300,1,1.0,0.6081272773878433
1,0.8,0.1,6,5,300,1,1.0,0.6155775707743876
1,0.8,0.1,6,5,300,1,1.0,0.6139035608167669
1,0.8,0.1,6,5,300,5,0.8,0.5982926947756693
1,0.8,0.1,6,5,300,5,0.8,0.6149434693791399
1,0.8,0.1,6,5,300,5,0.8,0.6096421905071481
1,0.8,0.1,6,5,300,5,1.0,0.6008382122927546
1,0.8,0.1,6,5,300,5,1.0,0.6125747598240311
1,0.8,0.1,6,5,300,5,1.0,0.6148337351258714
1,0.8,0.1,6,5,500,1,0.8,0.6054778363382078
1,0.8,0.1,6,5,500,1,0.8,0.6249952246785571
1,0.8,0.1,6,5,500,1,0.8,0.614901925387162
1,0.8,0.1,6,5,500,1,1.0,0.6113953499152329
1,0.8,0.1,6,5,500,1,1.0,0.6182626138468
1,0.8,0.1,6,5,500,1,1.0,0.6150802701917715
1,0.8,0.1,6,5,500,5,0.8,0.6022075503748521
1,0.8,0.1,6,5,500,5,0.8,0.6173976405131203
1,0.8,0.1,6,5,500,5,0.8,0.6123049137850863
1,0.8,0.1,6,5,500,5,1.0,0.6035742889219037
1,0.8,0.1,6,5,500,5,1.0,0.6154070528120192
1,0.8,0.1,6,5,500,5,1.0,0.6173730726867577
1,1.0,0.03,3,1,100,1,0.8,0.7142533762208402
